board,channel,measurement_type,n_points,mu,sigma,err_mu,err_sigma
1.3.2.1_FD_2.12D,01,pedestal,1022,258.05,0.5470549913958677,0.02,0
1.3.2.1_FD_2.12D,01,pulse,1990,1023.87,1.194262021691184,0.03,0
1.3.2.1_FD_2.12D,02,pedestal,1023,258.81,0.43942142893515057,0.01,0
1.3.2.1_FD_2.12D,02,pulse,1993,1036.84,1.224063317770059,0.03,0
1.3.2.1_FD_2.12D,03,pedestal,1021,257.57,0.943911066386222,0.03,0
1.3.2.1_FD_2.12D,03,pulse,1991,969.12,0.9901702341237044,0.02,0
1.3.2.1_FD_2.12D,04,pedestal,1021,257.47,0.8506143517498488,0.03,0
1.3.2.1_FD_2.12D,04,pulse,1990,987.63,1.1180850010593204,0.03,0
1.3.2.1_FD_2.12D,05,pedestal,1023,257.64,0.4827533435592183,0.02,0
1.3.2.1_FD_2.12D,05,pulse,1985,1024.89,1.2270051188617128,0.03,0
1.3.2.1_FD_2.12D,06,pedestal,1023,258.92,0.6707065312013656,0.02,0
1.3.2.1_FD_2.12D,06,pulse,1996,990.3,1.1066424833018063,0.02,0
1.3.2.1_FD_2.12D,07,pedestal,1023,259.21,0.49744109938692144,0.02,0
1.3.2.1_FD_2.12D,07,pulse,1993,976.07,1.1259323600751827,0.03,0
1.3.2.1_FD_2.12D,08,pedestal,1023,257.49,0.6268178861953065,0.02,0
1.3.2.1_FD_2.12D,08,pulse,1981,969.4,1.0632400734551952,0.02,0
1.3.2.1_FD_2.12D,09,pedestal,1023,257.3,0.5216135502979649,0.02,0
1.3.2.1_FD_2.12D,09,pulse,1984,965.85,1.075138182815026,0.02,0
1.3.2.1_FD_2.12D,10,pedestal,1023,259.78,0.4214331114164839,0.01,0
1.3.2.1_FD_2.12D,10,pulse,1992,986.08,1.0717596551507358,0.02,0
1.3.2.1_FD_2.12D,11,pedestal,1022,257.96,0.46430434641374874,0.01,0
1.3.2.1_FD_2.12D,11,pulse,1987,967.66,1.1284500223490517,0.03,0
1.3.2.1_FD_2.12D,12,pedestal,1022,258.02,0.47536492619960247,0.01,0
1.3.2.1_FD_2.12D,12,pulse,1986,1003.22,1.2169750014929033,0.03,0
1.3.2.1_FD_2.12D,13,pedestal,1022,259.24,0.5564766697412017,0.02,0
1.3.2.1_FD_2.12D,13,pulse,1989,976.58,1.0964232691241445,0.02,0
1.3.2.1_FD_2.12D,14,pedestal,1023,258.63,0.5040045051880815,0.02,0
1.3.2.1_FD_2.12D,14,pulse,1985,1023.87,1.1937797960726826,0.03,0
1.3.2.1_FD_2.12D,15,pedestal,1022,257.06,0.36827880772989113,0.01,0
1.3.2.1_FD_2.12D,15,pulse,1987,968.63,1.1557168449679422,0.03,0
1.3.2.1_FD_2.12D,16,pedestal,1023,259.28,0.4755853127265062,0.01,0
1.3.2.1_FD_2.12D,16,pulse,1994,976.11,1.119185684244828,0.03,0
1.3.2.1_FD_2.12D,17,pedestal,1023,257.39,0.6515180765415692,0.02,0
1.3.2.1_FD_2.12D,17,pulse,1977,950.65,0.9907374634975168,0.02,0
1.3.2.1_FD_2.12D,18,pedestal,1023,257.19,0.5435665446277179,0.02,0
1.3.2.1_FD_2.12D,18,pulse,1982,977.37,1.0901024634856749,0.02,0
1.3.2.1_FD_2.12D,19,pedestal,1023,257.33,0.5237271735628724,0.02,0
1.3.2.1_FD_2.12D,19,pulse,1989,985.16,1.1662153696436188,0.03,0
