event_type,channel,status,length,adc,pmt_time,time_coarse,time_fine,tdc_coarse,tdc_start,tdc_stop,crc
0,4,4,0,1028,2051345051616,7641,229732320,12,7,4,5
0,5,4,0,991,2051345108317,7641,229789021,12,12,8,4
0,7,4,0,969,2051345369280,7641,230049984,12,7,1,15
0,16,4,0,950,2051345397212,7641,230077916,12,7,4,1
0,6,4,0,975,2051345444551,7641,230125255,12,0,1,13
0,10,4,0,968,2051345543944,7641,230224648,12,9,5,0
0,15,4,0,976,2051345592515,7641,230273219,12,2,2,4
0,9,4,0,986,2051346153488,7641,230834192,11,2,12,10
0,13,4,0,1022,2051346154613,7641,230835317,11,0,7,12
0,1,4,0,1036,2051346177617,7641,230858321,12,9,4,0
0,17,4,0,977,2051346414076,7641,231094780,11,1,13,1
0,0,4,0,1025,2051346501238,7641,231181942,11,1,14,8
0,2,4,0,970,2051346569907,7641,231250611,12,7,5,6
0,11,4,0,1003,2051346660369,7641,231341073,12,6,0,8
0,8,4,0,966,2051346673168,7641,231353872,12,1,1,5
0,14,4,0,969,2051346843474,7641,231524178,12,9,1,6
0,18,4,0,985,2051347103344,7641,231784048,11,1,12,2
0,12,4,0,977,2051347248211,7641,231928915,12,5,2,5
0,3,4,0,988,2051347381439,7641,232062143,12,8,6,4
0,4,4,0,1025,2051347658611,7641,232339315,12,5,1,2
0,5,4,0,990,2051347701450,7641,232382154,12,8,5,6
0,7,4,0,969,2051347978638,7641,232659342,12,10,5,15
0,16,4,0,950,2051348011443,7641,232692147,12,2,0,9
0,6,4,0,976,2051348042748,7641,232723452,12,8,10,0
0,0,4,0,258,2051348077454,7641,232758158,2,11,13,11
0,1,4,0,259,2051348077454,7641,232758158,2,8,9,3
0,2,4,0,258,2051348077454,7641,232758158,2,9,11,4
0,3,4,0,258,2051348077454,7641,232758158,2,7,8,4
0,4,4,0,258,2051348077454,7641,232758158,2,4,4,12
0,5,4,0,259,2051348077454,7641,232758158,2,7,8,12
0,6,4,0,258,2051348077454,7641,232758158,2,8,9,15
0,7,4,0,258,2051348077454,7641,232758158,2,10,11,8
0,8,4,0,258,2051348077454,7641,232758158,2,9,10,15
0,9,4,0,260,2051348077454,7641,232758158,2,13,14,11
0,10,4,0,258,2051348077454,7641,232758158,2,8,9,12
0,11,4,0,258,2051348077454,7641,232758158,2,10,12,12
0,12,4,0,260,2051348077454,7641,232758158,2,8,9,3
0,13,4,0,259,2051348077454,7641,232758158,2,9,11,10
0,14,4,0,258,2051348077454,7641,232758158,2,9,10,6
0,15,4,0,260,2051348077454,7641,232758158,2,10,12,11
0,16,4,0,258,2051348077454,7641,232758158,2,8,9,2
0,17,4,0,258,2051348077454,7641,232758158,2,7,9,9
0,18,4,0,258,2051348077454,7641,232758158,2,6,7,3
0,10,4,0,968,2051348146113,7641,232826817,12,12,8,14
0,15,4,0,976,2051348188656,7641,232869360,12,13,13,11
0,9,4,0,986,2051348753761,7641,233434465,12,6,0,13
0,13,4,0,1024,2051348763113,7641,233443817,11,3,11,0
0,1,4,0,1037,2051348771012,7641,233451716,12,4,0,15
0,17,4,0,976,2051349022849,7641,233703553,12,5,2,11
0,0,4,0,1024,2051349099650,7641,233780354,12,11,9,9
0,2,4,0,969,2051349169625,7641,233850329,12,1,0,6
0,11,4,0,1004,2051349267968,7641,233948672,11,1,10,2
0,8,4,0,965,2051349279970,7641,233960674,12,7,7,2
0,14,4,0,968,2051349449458,7641,234130162,11,5,11,2
0,18,4,0,985,2051349706643,7641,234387347,12,5,1,14
0,12,4,0,977,2051349851529,7641,234532233,12,10,7,7
0,3,4,0,987,2051349982264,7641,234662968,12,10,8,12
0,4,4,0,1025,2051350266389,7641,234947093,12,10,5,6
0,5,4,0,990,2051350295038,7641,234975742,12,3,0,6
0,7,4,0,969,2051350589550,7641,235270254,11,0,10,1
0,16,4,0,951,2051350625839,7641,235306543,12,4,0,4
0,6,4,0,975,2051350640650,7641,235321354,12,1,2,5
0,10,4,0,968,2051350749359,7641,235430063,12,12,7,7
0,15,4,0,976,2051350784980,7641,235465684,12,13,13,3
0,9,4,0,986,2051351354049,7641,236034753,11,5,14,0
0,1,4,0,1037,2051351364727,7641,236045431,12,10,5,15
0,13,4,0,1024,2051351369782,7641,236050486,11,0,7,5
0,17,4,0,977,2051351631688,7641,236312392,12,8,4,2
0,0,4,0,1024,2051351698919,7641,236379623,12,9,7,11
0,2,4,0,970,2051351768936,7641,236449640,12,9,7,3
0,11,4,0,1003,2051351876153,7641,236556857,12,6,0,4
0,8,4,0,966,2051351886557,7641,236567261,12,4,4,2
