board,measurement_type,channel,mean,std,err_mean,err_std,n_points
acq_MainBoard_20251110_134104,pedestal,01,,,,,
acq_MainBoard_20251110_134104,pedestal,02,,,,,
acq_MainBoard_20251110_134104,pedestal,03,,,,,
acq_MainBoard_20251110_134104,pedestal,04,,,,,
acq_MainBoard_20251110_134104,pedestal,05,,,,,
acq_MainBoard_20251110_134104,pedestal,06,,,,,
acq_MainBoard_20251110_134104,pedestal,07,,,,,
acq_MainBoard_20251110_134104,pedestal,08,,,,,
acq_MainBoard_20251110_134104,pedestal,09,,,,,
acq_MainBoard_20251110_134104,pedestal,10,,,,,
acq_MainBoard_20251110_134104,pedestal,11,,,,,
acq_MainBoard_20251110_134104,pedestal,12,,,,,
acq_MainBoard_20251110_134104,pedestal,13,,,,,
acq_MainBoard_20251110_134104,pedestal,14,,,,,
acq_MainBoard_20251110_134104,pedestal,15,,,,,
acq_MainBoard_20251110_134104,pedestal,16,,,,,
acq_MainBoard_20251110_134104,pedestal,17,259.124,0.4,0.001,0.0,100576.0
acq_MainBoard_20251110_134104,pedestal,18,,,,,
acq_MainBoard_20251110_134104,pedestal,19,,,,,
acq_MainBoard_20251110_134104,pulse,01,1043.27,0.6,0.03,0.0,492.0
acq_MainBoard_20251110_134104,pulse,02,1027.4,0.7,0.03,0.0,492.0
acq_MainBoard_20251110_134104,pulse,03,,,,,
acq_MainBoard_20251110_134104,pulse,04,1033.96,0.6,0.03,0.0,492.0
acq_MainBoard_20251110_134104,pulse,05,1077.27,0.6,0.03,0.0,492.0
acq_MainBoard_20251110_134104,pulse,06,1000.11,0.6,0.03,0.0,492.0
acq_MainBoard_20251110_134104,pulse,07,1004.35,0.7,0.03,0.0,492.0
acq_MainBoard_20251110_134104,pulse,08,1047.84,0.6,0.03,0.0,492.0
acq_MainBoard_20251110_134104,pulse,09,969.65,0.6,0.03,0.0,492.0
acq_MainBoard_20251110_134104,pulse,10,959.12,0.7,0.03,0.0,492.0
acq_MainBoard_20251110_134104,pulse,11,994.36,0.6,0.03,0.0,492.0
acq_MainBoard_20251110_134104,pulse,12,1021.24,0.6,0.03,0.0,492.0
acq_MainBoard_20251110_134104,pulse,13,977.47,0.6,0.03,0.0,492.0
acq_MainBoard_20251110_134104,pulse,14,1048.93,0.7,0.03,0.0,492.0
acq_MainBoard_20251110_134104,pulse,15,1007.4,0.6,0.03,0.0,491.0
acq_MainBoard_20251110_134104,pulse,16,1025.44,0.6,0.03,0.0,491.0
acq_MainBoard_20251110_134104,pulse,17,,,,,
acq_MainBoard_20251110_134104,pulse,18,982.7,0.6,0.03,0.0,491.0
acq_MainBoard_20251110_134104,pulse,19,1013.85,0.6,0.03,0.0,491.0
acq_MainBoard_20251110_153952,pedestal,01,,,,,
acq_MainBoard_20251110_153952,pedestal,02,,,,,
acq_MainBoard_20251110_153952,pedestal,03,,,,,
acq_MainBoard_20251110_153952,pedestal,04,,,,,
acq_MainBoard_20251110_153952,pedestal,05,,,,,
